Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.48.29,--,5G NSA,-86,-11.0,9.0,10,22,D,PERIODIC,mcar
2024.06.13_18.48.30,--,5G NSA,-85,-11.0,16.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.31,--,5G NSA,-88,-11.0,14.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.32,--,5G NSA,-90,-11.0,21.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.33,--,5G NSA,-86,-11.0,21.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.34,--,5G NSA,-85,-11.0,22.0,7,19,D,PERIODIC,mcar
2024.06.13_18.48.35,--,5G NSA,-87,-11.0,20.0,458,83,D,PERIODIC,mcar
2024.06.13_18.48.36,--,5G NSA,-86,-11.0,24.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.37,--,5G NSA,-90,-11.0,24.0,4,7,D,PERIODIC,mcar
2024.06.13_18.48.38,--,5G NSA,-90,-11.0,24.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.39,--,5G NSA,-93,-11.0,26.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.40,--,5G NSA,-97,-11.0,25.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.41,--,5G NSA,-90,-11.0,25.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.42,--,5G NSA,-91,-11.0,26.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.43,--,5G NSA,-91,-11.0,26.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.44,--,5G NSA,-88,-11.0,25.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.45,--,5G NSA,-93,-11.0,24.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.46,--,5G NSA,-100,-11.0,24.0,5,6,D,PERIODIC,mcar
2024.06.13_18.48.47,--,5G NSA,-98,-11.0,24.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.48,--,5G NSA,-98,-11.0,23.0,6,16,D,PERIODIC,mcar
2024.06.13_18.48.49,--,5G NSA,-99,-11.0,24.0,5,6,D,PERIODIC,mcar
2024.06.13_18.48.50,--,5G NSA,-102,-11.0,23.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.51,--,5G NSA,-98,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.52,--,5G NSA,-105,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.53,--,5G NSA,-106,-11.0,20.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.54,--,5G NSA,-105,-11.0,19.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.55,--,5G NSA,-98,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.56,--,5G NSA,-98,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.57,--,5G NSA,-100,-11.0,22.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.58,--,5G NSA,-105,-11.0,21.0,4,7,D,PERIODIC,mcar
2024.06.13_18.48.59,--,5G NSA,-109,-11.0,21.0,5,5,D,PERIODIC,mcar
2024.06.13_18.49.00,--,5G NSA,-112,-12.0,18.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.01,--,5G NSA,-120,-15.0,18.0,2,6,D,PERIODIC,mcar
