Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.08.45,--,5G NSA,-80,-11.0,28.0,4,7,D,PERIODIC,mc8
2024.06.15_09.08.46,--,5G NSA,-74,-11.0,29.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.47,--,5G NSA,-72,-11.0,27.0,6,14,D,PERIODIC,mc8
2024.06.15_09.08.48,--,5G NSA,-71,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.49,--,5G NSA,-74,-11.0,26.0,24,30,D,PERIODIC,mc8
2024.06.15_09.08.50,--,5G NSA,-73,-11.0,27.0,7,7,D,PERIODIC,mc8
2024.06.15_09.08.51,--,5G NSA,-73,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.52,--,5G NSA,-73,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.53,--,5G NSA,-75,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.54,--,5G NSA,-74,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.55,--,5G NSA,-75,-11.0,26.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.56,--,5G NSA,-77,-11.0,26.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.57,--,5G NSA,-116,-14.0,24.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.58,--,5G NSA,-117,-12.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.59,--,5G NSA,-115,-13.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.00,--,5G NSA,-115,-14.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.01,--,5G NSA,-114,-13.0,25.0,5,6,D,PERIODIC,mc8
2024.06.15_09.09.02,--,5G NSA,-117,-13.0,25.0,4,6,D,PERIODIC,mc8
2024.06.15_09.09.03,--,5G NSA,-108,-12.0,25.0,4,6,D,PERIODIC,mc8
2024.06.15_09.09.04,--,5G NSA,-110,-12.0,25.0,4,6,D,PERIODIC,mc8
2024.06.15_09.09.05,--,5G NSA,-108,-11.0,25.0,4,6,D,PERIODIC,mc8
2024.06.15_09.09.06,--,5G NSA,-105,-11.0,26.0,4,6,D,PERIODIC,mc8
2024.06.15_09.09.07,--,5G NSA,-108,-12.0,24.0,5,7,D,PERIODIC,mc8
2024.06.15_09.09.08,--,5G NSA,-106,-11.0,24.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.09,--,5G NSA,-110,-11.0,24.0,4,10,D,PERIODIC,mc8
2024.06.15_09.09.10,--,5G NSA,-108,-12.0,24.0,4,0,D,PERIODIC,mc8
2024.06.15_09.09.11,--,5G NSA,-110,-13.0,23.0,4,9,D,PERIODIC,mc8
2024.06.15_09.09.12,--,5G NSA,-111,-13.0,22.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.13,--,5G NSA,-110,-13.0,22.0,5,6,D,PERIODIC,mc8
2024.06.15_09.09.14,--,5G NSA,-115,-14.0,22.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.15,--,5G NSA,-114,-14.0,21.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.16,--,5G NSA,-118,-15.0,23.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.17,--,5G NSA,-114,-14.0,22.0,4,5,D,PERIODIC,mc8
2024.06.15_09.09.18,--,5G NSA,-111,-12.0,21.0,5,6,D,PERIODIC,mc8
